"folio","con_ex_p","dis_ex_p","res_ex_p","con_re_p","dis_re_p","res_re_p","totl_tom","tom_mun","tom_loc","t_cm_dom","t_cms_do","t_sm_dom","t_cm_ind","t_cms_in","t_sm_ind","t_cm_com","t_cms_co","t_sm_com","t_cm_pub","t_cms_pu","t_sm_pub","t_cm_mix","t_cms_mx","t_sm_mix","t_cm_tot","t_cms_to","t_sm_tot","factu_ag","fac_cufi","razcufij","c_fija_e","fac_srvm","aj_tarif","ajutarec","ajtarcnf","aj_cnf_e","esq_agua","boni_tar","fon_soli","fom_ahor","otro_esq","oesq_esp","el_capta","desin_ag","el_siste","el_potab","quim_pot","el_trata","quim_tra","remu_agu","remu_dre","remu_tra","der_expl","der_cuer","reha_man","dep_acti","otr_gast","total","ing_agua","agua_tra","saneamie","conexion","der_alca","vnt_lodo","agua_pip","otro_ing","sub_fede","sub_esta","sub_muni","multas","ej_anter","total_in"
"13061","NSS","NSS","NSS","NSS","NSS","NSS","17057","6423","10634","","","16842","15","","","","200","","","","","","","","15","200","16842","1","1","3","","1","2","1","0","","2","NA","NA","NA","NA","","21944821","855678.87","","","","","","11026321.25","1038389.73","","2059844","","","","","36925054.85","11026321.25","","","343240","1038389.73","","","","","","","1850801.42","","14258752.4"
"13062","16","16","","","","","650","379","271","","","5842","","","","","","","","","","","","","","","5842","1","1","1","","2","2","7","0","","2","NA","NA","NA","NA","","244039","98160","","","","2243","","","","","","","","","","344442","317656.9","","","22359.2","","","","","","","","1825.59","","341841.69"
"13063","45.7","142.08","NSS","","0.81","NSS","17211","13369","3842","13050","NSS","NSS","30","NSS","NSS","600","NSS","NSS","3531","NSS","NSS","","NSS","NSS","17211","NA","NA","1","1","3","","1","1","2","5","","2","NA","NA","NA","NA","","6260827.54","319600","","","","","","10241153.03","15167066.31","","1354109.03","","1150503.26","","14677135.45","49170394.62","29513782.67","","","579937.68","5376927.53","","585.79","816683.97","1286600","","2211340","22617.49","1243.85","39809718.98"
"13064","16","16","","16","16","","3269","1151","2118","","100","3169","","","","","","","","","","","","","","100","3169","1","1","1","","2","1","0","2","","2","NA","NA","NA","NA","","3845658","247646.55","184595","184595","","","","","","","","","170240.55","","","4632735.1","668948","NA","NA","NA","5500","NA","NA","NA","NA","NA","NA","258135.5","NA","932583.5"
"13065","2.44","51.03","","","","","3741","3208","533","","","3737","","","","","","4","","","","","","","","","3741","1","1","1","","2","2","7","0","","2","NA","NA","NA","NA","","2126914.57","97440","328287","","","","","","","","","","92800","","","2645441.57","906244.74","","","52246.25","12283.23","","","","","","","4219.48","","974993.7"
"13066","NSS","NSS","NSS","NSS","NSS","NSS","3942","2700","1242","3938","","","4","","","","","","","","","","","","3942","","","2","0","0","","0","0","0","0","","2","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13067","80","336","NSS","NSS","NSS","NSS","11519","889","10630","","","11403","2","10","","","","104","","","","","","","2","10","11507","1","1","4","DEBIDO A USOS Y COSTUBRES LA POBLACION SE OPONE ROTUNDAMENTE A LA INSTALACION DE MEDIDORES","1","2","1","0","","2","NA","NA","NA","NA","","3656298.86","184098.97","","","","","","1190379.81","","","392790","","353194.38","446087.93","1689084.27","7911934.22","2242355.12","NA","NA","261594","401972.93","NA","2800","NA","NA","NA","4448307.37","5000.97","NA","7362030.39"
"13068","3.5","10","","0.5","1","0.2","2000","1500","5000","","","1950","","","","","","","","","50","","","","","","2000","2","0","0","","0","0","0","0","","2","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13069","23040","11520","2304","4608","1152","230","NSS","79650","NSS","50877","17608","9493","282","74","25","797","283","182","15","7","2","3","2","","51974","17974","9702","1","1","1","","1","1","0","1","","2","NA","NA","NA","NA","","13572024","1215658","4896345","2365981","1171481","NA","NA","NA","NA","NA","NA","NA","1494445","NA","8791463","33507397","27113033","106381","1374322","5909901","3253188","NA","106381","NA","NA","NA","NA","8173313","22348053","68384572"
"13070","NSS","38.4","NSS","NSS","","NSS","4662","3018","1644","2041","120","2310","","","","169","","","22","","","","","","2232","120","2310","1","1","1","","1","1","0","1","","2","NA","NA","NA","","","","232058","","","","","","799123.97","","","","","321674.99","","12500","1365356.96","2757763.01","","500","66593.69","241829.09","","","5511.86","","","","84306.63","19069.34","3175573.62"
"13071","NSS","NSS","NSS","NSS","NSS","NSS","580","","","","","580","","","","","","","","","","","","","","","580","2","0","0","","0","0","0","0","","2","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13072","NSS","NSS","","","","","3794","1898","1896","","","3655","","","","","","139","","","","","","","","","3794","2","0","0","","0","0","0","0","","2","NA","NA","NA","NA","","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"13073","NSS","NSS","NSS","","","","NSS","NSS","NSS","","","1996","","","","","","","","","","","","","","","1996","1","1","1","","2","2","7","0","","2","NA","NA","NA","NA","","","27651.26","","","","","","","","","","","","","","27651.26","142389.05","","8231.6","","","","","","","","","","3780","154400.65"
"13074","60","60","","60","60","","5357","5357","NSS","","","4976","65","13","","","","303","","","","","","","65","13","5279","1","1","1","","1","1","1","2","","2","NA","NA","NA","NA","","","140880.8","","","","","","1879734.49","","","50784","","314242.59","94938.76","924242.59","3404823.23","2515142.54","","","363936.6","353735","","","","","","","301053.35","3533867.49","7067734.98"
