"id_recibo","folio","recibcon","si_inclu","no_inclu","no_aplic"
"701","30140","2","","","1"
"702","30140","3","","","1"
"703","30140","4","","","1"
"704","30140","5","","","1"
"705","30140","6","","","1"
"706","30140","7","","","1"
"707","30140","8","","","1"
"708","30140","9","","","1"
"709","30140","10","","","1"
"710","30140","11","","","1"
"711","30140","12","","","1"
"712","15040","4","","","1"
"713","6004","4","","","1"
"714","6004","5","","","1"
"715","6004","11","","","1"
"716","6004","12","","","1"
"717","7037","2","","","1"
"718","7037","3","","","1"
"719","7037","7","","","1"
"720","30182","3","","","1"
"721","30182","4","","","1"
"722","30182","5","","","1"
"723","30182","6","","","1"
"724","30182","7","","","1"
"725","30182","10","","","1"
"726","30182","11","","","1"
"727","30182","12","","","1"
"728","15044","7","","","1"
"729","29004","3","","","1"
"730","29004","4","","","1"
"731","29004","5","","","1"
"732","29004","6","","","1"
"733","29004","7","","","1"
"734","29004","8","","","1"
"735","29004","9","","","1"
"736","29004","10","","","1"
"737","29004","11","","","1"
"738","29004","12","","","1"
"739","30041","7","","","1"
"740","30017","1","","","1"
"741","30017","2","","","1"
"742","30017","3","","","1"
"743","30017","4","","","1"
"744","30017","5","","","1"
"745","30017","6","","","1"
"746","30017","7","","","1"
"747","30017","8","","","1"
"748","30017","9","","","1"
"749","30017","10","","","1"
"750","30017","11","","","1"
"751","30017","12","","","1"
"752","7097","4","","","1"
"753","7097","5","","","1"
"754","26061","7","","","1"
"755","26061","8","","","1"
"756","26061","9","","","1"
"757","26061","10","","","1"
"758","26061","11","","","1"
"759","26061","12","","","1"
"760","30046","3","","","1"
"761","30046","4","","","1"
"762","30046","5","","","1"
"763","30046","6","","","1"
"764","20361","11","","","1"
"765","20361","12","","","1"
"766","30204","3","","","1"
"767","30204","4","","","1"
"768","15064","3","","","1"
"769","15064","5","","","1"
"770","30186","6","","","1"
"771","30186","7","","","1"
"772","30186","11","","","1"
"773","16020","3","","","1"
"774","11011","11","","","1"
"775","20369","7","","","1"
"776","20555","7","","","1"
"777","20555","11","","","1"
"778","20555","12","","","1"
"779","30141","8","","","1"
"780","30141","11","","","1"
"781","30141","12","","","1"
"782","26024","1","","","1"
"783","26024","2","","","1"
"784","26024","4","","","1"
"785","26024","5","","","1"
"786","26024","6","","","1"
"787","26024","7","","","1"
"788","26024","8","","","1"
"789","26024","9","","","1"
"790","26024","10","","","1"
"791","26024","11","","","1"
"792","26024","12","","","1"
"793","30117","4","","","1"
"794","30117","5","","","1"
"795","30117","6","","","1"
"796","30117","7","","","1"
"797","30117","8","","","1"
"798","30117","9","","","1"
"799","30117","10","","","1"
"800","30117","11","","","1"
"801","30117","12","","","1"
"802","16107","11","","","1"
"803","16107","12","","","1"
"804","4011","4","","","1"
"805","4011","5","","","1"
"806","4011","6","","","1"
"807","4011","7","","","1"
"808","30062","1","","","1"
"809","30062","2","","","1"
"810","30062","3","","","1"
"811","30062","4","","","1"
"812","30062","5","","","1"
"813","30062","6","","","1"
"814","30062","7","","","1"
"815","30062","8","","","1"
"816","30062","9","","","1"
"817","30062","10","","","1"
"818","30062","11","","","1"
"819","30095","3","","","1"
"820","30095","4","","","1"
"821","30095","5","","","1"
"822","30095","6","","","1"
"823","30095","7","","","1"
"824","30095","8","","","1"
"825","30095","9","","","1"
"826","30095","10","","","1"
"827","12005","3","","","1"
"828","5004","7","","","1"
"829","5004","11","","","1"
"830","30124","7","","","1"
"831","30124","8","","","1"
"832","30124","11","","","1"
"833","30086","6","","","1"
"834","30086","7","","","1"
"835","26019","6","","","1"
"836","26019","7","","","1"
"837","26060","1","","","1"
"838","26060","4","","","1"
"839","26060","6","","","1"
"840","26060","7","","","1"
"841","26060","8","","","1"
"842","26060","10","","","1"
"843","26060","11","","","1"
"844","26060","12","","","1"
"845","15095","3","","","1"
"846","15027","4","","","1"
"847","13019","6","","","1"
"848","13019","7","","","1"
"849","13019","11","","","1"
"850","30066","5","","","1"
"851","5001","2","","","1"
"852","5001","3","","","1"
"853","5001","5","","","1"
"854","5001","6","","","1"
"855","5001","7","","","1"
"856","5001","8","","","1"
"857","5001","9","","","1"
"858","5001","10","","","1"
"859","5001","11","","","1"
"860","5001","12","","","1"
"861","30035","3","","","1"
"862","30035","4","","","1"
"863","30035","5","","","1"
"864","30035","6","","","1"
"865","30035","7","","","1"
"866","30035","8","","","1"
"867","30035","9","","","1"
"868","30035","10","","","1"
"869","30035","11","","","1"
"870","30035","12","","","1"
"871","15124","3","","","1"
"872","15124","4","","","1"
"873","15124","5","","","1"
"874","15124","7","","","1"
"875","15124","9","","","1"
"876","15124","10","","","1"
"877","15124","11","","","1"
"878","15114","1","","","1"
"879","15114","2","","","1"
"880","15114","3","","","1"
"881","15114","5","","","1"
"882","15114","7","","","1"
"883","15114","8","","","1"
"884","15114","10","","","1"
"885","13025","7","","","1"
"886","13025","11","","","1"
"887","13008","4","","","1"
"888","13008","5","","","1"
"889","13008","8","","","1"
"890","13008","9","","","1"
"891","13008","10","","","1"
"892","13008","11","","","1"
"893","13008","12","","","1"
"894","12005","5","","","1"
"895","12005","6","","","1"
"896","12005","7","","","1"
"897","12005","8","","","1"
"898","12005","9","","","1"
"899","12005","10","","","1"
"900","12005","11","","","1"
"901","12005","12","","","1"
"902","12006","1","","","1"
"903","12005","4","","","1"
"904","30110","6","","","1"
"905","30110","7","","","1"
"906","30110","8","","","1"
"907","30110","9","","","1"
"908","30110","10","","","1"
"909","30110","11","","","1"
"910","30110","12","","","1"
"911","13073","7","","","1"
"912","28008","1","","","1"
"913","28008","2","","","1"
"914","28008","3","","","1"
"915","28008","4","","","1"
"916","28008","5","","","1"
"917","28008","7","","","1"
"918","28008","8","","","1"
"919","28008","9","","","1"
"920","28008","10","","","1"
"921","28008","11","","","1"
"922","28008","12","","","1"
"923","30071","4","","","1"
"924","30071","5","","","1"
"925","30071","7","","","1"
"926","30071","11","","","1"
"927","30071","12","","","1"
"928","30040","5","","","1"
"929","30046","7","","","1"
"930","30046","9","","","1"
"931","30046","10","","","1"
"932","30046","11","","","1"
"933","30046","12","","","1"
"934","26072","3","","","1"
"935","26072","4","","","1"
"936","30138","7","","","1"
"937","30138","12","","","1"
"938","15095","1","","","1"
"939","15095","7","","","1"
"940","13016","4","","","1"
"941","13016","5","","","1"
"942","13028","7","","","1"
