"id_serv","folio","tipotom2","num_tom","recib_ex","mon_fact","mon_reca","v_sum_m3","frecfac2"
"14610","21071","3","509","509","1150749.89","941435.29","167957","1"
"14611","21071","4","10","10","","","","1"
"14612","11032","1","13310","159720","22680956","21547519","1269255","1"
"14613","11032","2","104","1248","1364575","1060044","107504","1"
"14614","11032","3","748","8976","2190055","1590305","538078","1"
"14615","11032","4","59","708","550271","402812","88674","1"
"14616","11032","5","557","6684","1434882","70907","30420","1"
"14617","22014","1","269101","241272","1228596425.36","1052942415.37","34146535","1"
"14618","22014","2","363","344","41428348.62","40688002.3","361060","1"
"14619","22014","3","15502","14439","283952188.88","259178048.4","2126506","1"
"14620","22014","4","1895","1628","104559400.63","62256649.27","1516552","1"
"14621","22014","5","137","111","19264855.51","19164971.67","476131","1"
"14622","11039","1","5575","66900","9759631","8983584","800580","1"
"14623","11039","2","11","132","64224","59529","2944","1"
"14624","11039","3","196","2352","660160","642943","31135","1"
"14625","11039","4","34","442","275872","270520","36567","1"
"14626","11039","5","246","2952","514373","419885","40893","1"
"14627","19046","1","128002","1533673","353711861","342719798","21408842","1"
"14628","19046","2","208","2481","69058967","79383831","1048215","1"
"14629","11041","1","16625","186624","27025501.43","27025501.43","1202294","1"
"14630","11041","2","15","144","149559.41","149559.41","4189","1"
"14631","19046","3","8499","102781","127663836","162291189","2471405","1"
"14632","19046","4","484","5852","18071411","26167169","647869","1"
"14633","11041","3","995","10968","3828900.42","3828900.42","182127","1"
"14634","11041","4","59","636","242019.49","242019.49","20501","1"
"14635","11041","5","675","7764","1572707.19","1572707.19","87900","1"
"14636","19048","1","81970","981384","243505225","223723826","14654219","1"
"14637","19048","2","113","1375","53884934","66253767","886643","1"
"14638","13067","2","2","12","41927.77","41927.77","1584","1"
"14639","19048","3","3368","39355","90876058","112514774","1695997","1"
"14640","19048","4","474","6028","17606134","20880108","735019","1"
"14641","19049","1","14747","173499","54479610.23","50109681.23","3070316","1"
"14642","19049","2","7","84","43236","47621","1025","1"
"14643","19049","3","697","8391","8003962","10116197","173886","1"
"14644","19049","4","111","1420","2062789","3132944","86769","1"
"14645","19008","1","2031","24148","4466658","3573965","317014","1"
"14646","32049","2","2","2","2300","2300","45","1"
"14647","32049","3","140","140","25000","23000","12","1"
"14648","30157","1","20","240","32388","32388","2294","1"
"14649","30157","3","2","24","15420","669","454","1"
"14650","30157","4","6","","4488","","172","1"
"14651","19026","1","190158","2274965","525076094","491696693","32568025","1"
"14652","19026","2","168","2026","57672733","69165372","882694","1"
"14653","19026","3","10172","121389","188094174","240609555","3481510","1"
"14654","19026","4","791","9619","33016206","35966664","1251400","1"
"14655","19030","1","775","9259","653806","572370","89965","1"
"14656","19030","2","1","12","5640","6777","351","1"
"14657","19030","3","7","84","27716","32492","895","1"
"14658","19030","4","15","188","315461","366027","9543","1"
"14659","12055","1","5935","5935","22782727","14891261","36232","1"
