"id_dren","folio","regjurid","dr_ini_a","dr_ter_a","ini_re_a","ter_re_a","ot_publi","ot_priva","ot_socia","ambito"
"8151","19006","6","NA","NA","NA","NA","","","","1"
"8152","19007","6","NA","NA","NA","NA","","","","1"
"8155","14008","1","NA","NA","NA","NA","","","","3"
"8156","9012","1","NA","NA","NA","NA","","","","1"
"8157","9012","7","NA","NA","NA","NA","DESCONCENTRADO","","","1"
"8159","19010","6","NA","NA","NA","NA","","","","1"
"8160","19011","6","NA","NA","NA","NA","","","","1"
"8181","19012","6","NA","NA","NA","NA","","","","1"
"8182","19013","6","NA","NA","NA","NA","","","","1"
"8183","19014","6","NA","NA","NA","NA","","","","1"
"8184","19016","6","NA","NA","NA","NA","","","","1"
"8185","10001","4","NA","NA","NA","NA","","","","2"
"8186","21131","1","NA","NA","NA","NA","","","","1"
"8187","19018","6","NA","NA","NA","NA","","","","1"
"8188","4003","4","NA","NA","NA","NA","","","","2"
"8189","19019","6","NA","NA","NA","NA","","","","1"
"8192","14021","1","NA","NA","NA","NA","","","","1"
"8193","14028","1","NA","NA","NA","NA","","","","1"
"8194","6002","5","NA","NA","NA","NA","","","","1"
"8195","14034","1","NA","NA","NA","NA","","","","3"
"8196","14037","4","NA","NA","NA","NA","","","","1"
"8201","14052","1","NA","NA","NA","NA","","","","1"
"8202","14054","1","NA","NA","NA","NA","","","","3"
"8203","14058","4","NA","NA","NA","NA","","","","3"
"8205","14062","1","NA","NA","NA","NA","","","","3"
"8206","14067","4","NA","NA","NA","NA","","","","1"
"8208","14080","1","NA","NA","NA","NA","","","","1"
"8209","14051","1","NA","NA","NA","NA","","","","1"
"8212","14084","4","NA","NA","NA","NA","","","","2"
"8214","14099","1","NA","NA","NA","NA","","","","1"
"8215","14100","1","NA","NA","NA","NA","","","","1"
"8217","19021","6","NA","NA","NA","NA","","","","1"
"8218","14102","1","NA","NA","NA","NA","","","","1"
"8219","21133","1","NA","NA","NA","NA","","","","1"
"8221","14106","1","NA","NA","NA","NA","","","","1"
"8222","19024","6","NA","NA","NA","NA","","","","1"
"8223","14044","4","NA","NA","NA","NA","","","","1"
"8224","16053","4","NA","NA","NA","NA","","","","3"
"8227","19027","6","NA","NA","NA","NA","","","","1"
"8229","19029","6","NA","NA","NA","NA","","","","1"
"8233","19031","6","NA","NA","NA","NA","","","","1"
"8234","19032","6","NA","NA","NA","NA","","","","1"
"8235","19034","6","NA","NA","NA","NA","","","","1"
"8236","19033","6","NA","NA","NA","NA","","","","1"
"8237","14018","4","NA","NA","NA","NA","","","","1"
"8238","19035","6","NA","NA","NA","NA","","","","1"
"8239","21137","1","NA","NA","NA","NA","","","","2"
"8240","19037","6","NA","NA","NA","NA","","","","1"
"8241","14047","4","NA","NA","NA","NA","","","","3"
"8243","19041","6","NA","NA","NA","NA","","","","1"
"8244","14086","4","NA","NA","NA","NA","","","","3"
"8246","19042","6","NA","NA","NA","NA","","","","1"
"8247","14083","4","NA","NA","NA","NA","","","","3"
"8250","19045","6","NA","NA","NA","NA","","","","1"
"8251","30180","1","NA","NA","NA","NA","","","","2"
"8252","19046","6","NA","NA","NA","NA","","","","1"
"8253","19047","6","NA","NA","NA","NA","","","","1"
