"id_dren","admn_id","localid"
"3767","2302","142517"
"3772","1689","226153"
"3774","7619","107327"
"3777","7743","120007"
"3778","7744","120028"
"3787","5627","117236"
"3788","7691","205980"
"3798","8743","301349"
"3830","8082","267860"
"3831","7964","68389"
"3833","9687","196856"
"3844","7951","260643"
"3854","7579","202534"
"3855","7858","258466"
"3863","8295","281055"
"3871","8516","206756"
"3872","8691","134465"
"3880","4884","223088"
"3883","8205","129904"
"3897","8419","192963"
"3910","8993","302551"
"3926","8819","203409"
"3932","9401","188112"
"3940","9477","188777"
"3948","9848","184027"
"3951","7678","111042"
"3958","7670","294603"
"3967","8347","163161"
"3977","7949","297139"
"3983","1685","259927"
"4009","8979","156877"
"4025","967","68988"
"4029","5938","118493"
"4039","640","263582"
"4058","7452","202674"
"4062","5910","115681"
"4063","5912","143004"
"4064","5102","267500"
"4068","774","143142"
"4074","8464","191039"
"4087","8904","182501"
"4095","7945","210232"
"4100","506","254960"
"4103","6043","141623"
"4104","646","265275"
"4108","461","33818"
"4122","7024","78609"
"4124","7792","204361"
"4126","8566","194259"
"4127","8315","276793"
"4129","5663","273212"
"4159","7041","96511"
"4163","5849","140588"
"4167","7863","301437"
"4168","7565","245024"
"4193","8224","301530"
"4237","1741","267656"
"4238","1744","281983"
"4241","6728","142005"
"4263","5939","118486"
"4266","1221","222066"
"4344","5987","142187"
"4387","362","10871"
"4389","349","218937"
"4395","4767","265148"
"4398","6005","117437"
"4402","7504","294250"
"4405","753","281030"
"4410","1209","52592"
"4417","5205","272168"
"4434","2626","28376"
"4439","7514","299090"
