"id_local","id_aps","localid","ag_dias","ag_horas"
"6638","8620","144108","NA","NA"
"6639","8620","144109","NA","NA"
"6641","7861","141698","2","2"
"6642","7861","301408","3","2"
"6643","7861","301408","2","2"
"6644","7861","301408","2","2"
"6666","6983","301407","7","24"
"6667","6983","301407","7","24"
"6668","6983","301407","7","24"
"6669","11800","180966","5","12"
"6670","11800","180964","5","12"
"6671","11800","180955","5","12"
"6672","9930","279106","4","7"
"6673","9930","279158","4","7"
"6674","9930","279059","4","7"
"6675","9930","279099","4","7"
"6676","9930","279164","4","7"
"6677","9930","279133","4","7"
"6678","9930","279073","4","7"
"6679","9930","279044","4","7"
"6680","9930","279036","4","7"
"6681","9930","279052","4","7"
"6682","9930","279064","4","7"
"6683","9930","279043","4","7"
"6684","9930","279065","4","7"
"6685","9930","279035","4","7"
"6691","7651","182286","7","24"
"6697","9762","294271","7","24"
"6698","9763","294276","7","24"
"6699","9764","294279","7","24"
"6700","9765","294283","7","24"
"6701","6272","116815","7","NA"
"6702","6272","116823","4","NA"
"6703","6272","116821","4","NA"
"6704","6272","116855","7","NA"
"6705","6272","116814","4","NA"
"6706","6272","116829","7","NA"
"6707","6272","116825","7","NA"
"6708","6272","116813","7","NA"
"6709","6272","116831","4","NA"
"6710","6272","116834","3","NA"
"6711","6272","116838","7","NA"
"6712","6272","116833","4","NA"
"6713","6272","116840","4","NA"
"6714","6272","116842","4","NA"
"6715","6272","116839","7","NA"
